"plec","waga","wiek","wojewodztwo","podregion66","godzin_internetu","rok"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","WROCŁAWSKI",2,"2003"
"kobieta",0.910855904,"do 24 lat","Dolnośląskie","WROCŁAWSKI",2,"2003"
"mężczyzna",1.02526613336,"do 24 lat","Dolnośląskie","WROCŁAWSKI",30,"2003"
"kobieta",1.01453976,"35-44 lata","Dolnośląskie","WROCŁAWSKI",10,"2003"
"mężczyzna",1.03132030464,"35-44 lata","Dolnośląskie","M.WROCŁAW",10,"2003"
"kobieta",0.93649824,"35-44 lata","Dolnośląskie","WROCŁAWSKI",20,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","WROCŁAWSKI",20,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","WROCŁAWSKI",20,"2003"
"mężczyzna",0.96139348488,"35-44 lata","Dolnośląskie","WROCŁAWSKI",20,"2003"
"mężczyzna",1.02526613336,"do 24 lat","Dolnośląskie","WROCŁAWSKI",20,"2003"
"mężczyzna",1.284500985984,"25-34 lata","Dolnośląskie","WROCŁAWSKI",20,"2003"
"kobieta",1.082175744,"45-59 lat","Dolnośląskie","WROCŁAWSKI",0,"2003"
"kobieta",1.217447712,"25-34 lata","Dolnośląskie","WROCŁAWSKI",4,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","WROCŁAWSKI",1,"2003"
"kobieta",1.01453976,"35-44 lata","Dolnośląskie","M.WROCŁAW",1,"2003"
"mężczyzna",1.07041748832,"35-44 lata","Dolnośląskie","M.WROCŁAW",1,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","M.WROCŁAW",3,"2003"
"mężczyzna",1.284500985984,"35-44 lata","Dolnośląskie","M.WROCŁAW",2,"2003"
"kobieta",1.217447712,"25-34 lata","Dolnośląskie","M.WROCŁAW",2,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","M.WROCŁAW",9,"2003"
"kobieta",1.082175744,"45-59 lat","Dolnośląskie","M.WROCŁAW",2,"2003"
"mężczyzna",1.110943582528,"45-59 lat","Dolnośląskie","M.WROCŁAW",2,"2003"
"mężczyzna",1.02526613336,"do 24 lat","Dolnośląskie","M.WROCŁAW",20,"2003"
"kobieta",1.217447712,"25-34 lata","Dolnośląskie","M.WROCŁAW",2,"2003"
"mężczyzna",1.284500985984,"25-34 lata","Dolnośląskie","M.WROCŁAW",7,"2003"
"kobieta",0.945386302,"do 24 lat","Dolnośląskie","M.WROCŁAW",0,"2003"
"mężczyzna",1.284500985984,"25-34 lata","Dolnośląskie","M.WROCŁAW",18,"2003"
"mężczyzna",1.02526613336,"do 24 lat","Dolnośląskie","M.WROCŁAW",40,"2003"
"mężczyzna",1.110943582528,"45-59 lat","Dolnośląskie","M.WROCŁAW",15,"2003"
